Site,Canopy,Litter,CoarseWD,FineWD,FireRotation,FireRotation_10yr,StDevFRI,Season,Season_10yr,RxFireMgmt,BurnFreeInterval,SoilDrainage,Region
E100B-E,30.8,3.67,11.4,1.37,4.6,4,1.95,0.2,0,18.3,3,3,1
A34,29.2,2.11,0.57,0.46,2.4,2.5,0.7,0.7,0.7,14.5,3.3,4,2
A18,42.5,5.37,1.1,0.64,4.4,4.1,0.61,0,0,13.2,4.2,4,2
A213,34.2,4.8,3.56,0.36,2.8,3.3,0.84,0.2,0,11.3,5.1,5,2
E501B,31.7,2.66,6.26,1.31,4.1,3.2,1.13,0.3,1,24.7,4.6,4,1
E505,45,3.13,5.81,0.91,7.1,6.2,0.6,0,0,28.5,2,5,1
A319,47.5,4.9,1.74,0.65,4.7,4.7,0.9,0,0,9.4,3,4,2
E807B,40.8,3.51,4.49,1.62,5.4,4.4,0.8,0.3,0.5,16.1,2.1,5,1
S330,61.7,6.52,1.13,1.05,3.3,3.1,1.73,0,0,26.4,2.4,5,2
E807D,37.5,3.77,1.22,0.93,6.7,7.1,NA,0.7,1,13.4,5,2,1
A71,55,4.01,2.2,0.6,2.5,2.9,1.31,0.5,1,12.5,2.6,2,2
A302,58.3,2.5,1.94,0.38,3.3,3.4,0.12,0.6,0.3,13.3,2.1,4,2
A32,48.3,2.66,2.13,0.24,2.6,2.8,0.91,0.5,0.7,12.8,2.3,5,2
E100B-W,51.7,4.9,2.29,1.09,5.3,4,0.91,0.2,0,26.4,3.3,4,1
E508A,34.2,3.12,1.17,1.09,7.7,4.9,1.03,0.3,0,23.2,5.3,6,1
S209,22.5,2.74,1.26,0.54,3.6,3.4,1.93,0,0,14.5,2.4,5,2
E403B,27.5,3.19,0.95,1.31,4.8,9.7,2.91,0.2,0,19.3,2.3,3,1
S411,55.8,2.49,1.61,0.6,3.6,3.6,0.7,0,0,14.2,5.5,4,2
E103B_S3,49.2,3.99,5.84,1.37,3.1,2.9,3.42,0.4,0.3,12.4,2.1,4,1
E503-S4,44.2,7.51,2.13,1.35,6.5,6.5,3.89,0.5,1,6.5,5.8,4,1
E507B-S4,32.5,2.2,1.18,0.83,5.8,5.8,0.62,0.7,0.5,11.5,1.8,3,1
A314,37.5,1.75,0.93,0.45,3.6,4.1,2,0.2,0.5,14.2,2.9,4,2
