,Site,SiteNo,Canopy,Litter,CoarseWD,FineWD,mfri_20yr,mfri_10yr,StDevFRI_20YR,Season_20yr,Season_10yr,RxFireMgmt,SoilDrainage,Region
1,E100B-E,E02,30.8,3.67,11.4,1.37,4.3,3.6,1.343566058,0.2,0,21.3,3,1
2,E501B,E06,31.7,2.66,6.26,1.31,3.4,3.7,1.666299419,0.3,0.666666667,29.3,4,1
3,E505,E04,45,3.13,5.81,0.91,4.5,3.6,2.598431537,0,0,30.4,5,1
4,E807D,E01,37.5,3.77,1.22,0.93,6.1,6,1.084103477,0.5,0.5,18.3,2,1
5,E100B-W,E07,51.7,4.9,2.29,1.09,4.3,3.8,1.272644277,0.4,0.333333333,29.7,4,1
6,E103B_S3,E09,49.2,3.99,5.84,1.37,2.9,2.7,0.905705935,0.5,0.5,14.5,4,1
7,E403B,E05,27.5,3.19,0.95,1.31,4.3,6,3.179834586,0.3,0.5,21.6,3,1
8,E508A,E08,34.2,3.12,1.17,1.09,5.5,5.1,0.692643962,0.4,0.5,28.5,6,1
9,A34,A05,29.2,2.11,0.57,0.46,2.5,2.7,0.895435548,0.6,0.5,17.8,4,2
10,A213,A07,34.2,4.8,3.56,0.36,3.3,3.9,1.236538628,0.2,0,16.3,5,2
11,A319,A02,47.5,4.9,1.74,0.65,3.8,4.1,1.665840845,0,0,15.2,4,2
12,S330,A01,61.7,6.52,1.13,1.05,3.2,3.1,1.057276688,0,0,26.4,5,2
13,A32,A10,48.3,2.66,2.13,0.24,2.5,2.6,0.812389435,0.6,0.75,15.2,5,2
14,A71,A09,55,4.01,2.2,0.6,2.5,2.8,0.628316919,0.7,0.75,15.1,2,2
15,A302,A04,58.3,2.5,1.94,0.38,3.1,3,0.580698414,0.7,0.5,15.4,4,2
16,S209,A03,22.5,2.74,1.26,0.54,3.4,3.2,0.769153575,0.2,0.25,16.8,5,2
17,A18,A06,42.5,5.37,1.1,0.64,4.4,4.1,0.50589821,0,0,17.4,4,2
18,A314,A11,37.5,1.75,0.93,0.45,3.6,4.7,0.799502723,0.2,0.5,16.1,4,2
19,E807B,E03,40.8,3.51,4.49,1.62,5.4,4.4,1.731028115,0.3,0.5,18.2,5,1
20,E503-S4,E10,44.2,7.51,2.13,1.35,6.5,6.5,#DIV/0!,0.5,1,12.1,4,1
21,E507B-S4,E11,32.5,2.2,1.18,0.83,5.8,5.8,1.926865979,0.7,1,13.1,3,1
22,S411,A08,55.8,2.49,1.61,0.6,3.9,4.2,1.059558201,0.2,0.333333333,19.7,4,2
